 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| 19.0/(FRExt)| 21-Ap | 14:53 |ballDrive_1920x1080_50_pad_1920x1088.yuv|   60 |  0/0  | 28 | 28 | 30 |1920x1088|    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.570| 41.213| 41.419| 33.142| 39.039| 38.407| 183180| 909900|1409273|  2502633|         639482   |         311569   |
| 19.0/(FRExt)| 27-Ap | 15:02 |ballDrive_1920x1080_50_pad_1920x1088.yuv|   60 |  0/0  | 28 | 28 | 30 |1920x1088|    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.570| 41.213| 41.419| 32.406| 38.436| 37.691| 183180| 703007|1253587|  2140053|         512953   |         246954   |
| 19.0/(FRExt)| 27-Ap | 15:13 |ballDrive_1920x1080_50_pad_1920x1088.yuv|   60 |  0/0  | 28 | 28 | 30 |1920x1088|    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.570| 41.213| 41.419| 32.406| 38.436| 37.691| 183180| 703007|1253587|  2140053|         504892   |         246233   |
| 19.0/(FRExt)| 27-Ap | 15:23 |ballDrive_1920x1080_50_pad_1920x1088.yuv|   60 |  0/0  | 28 | 28 | 30 |1920x1088|    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.570| 41.213| 41.419| 32.406| 38.436| 37.691| 183180| 703007|1253587|  2140053|         513286   |         249412   |
| 19.0/(FRExt)| 27-Ap | 15:34 |ballDrive_1920x1080_50_pad_1920x1088.yuv|   60 |  0/0  | 28 | 28 | 30 |1920x1088|    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.570| 41.213| 41.419| 32.406| 38.436| 37.691| 183180| 703007|1253587|  2140053|         520326   |         251889   |
| 19.0/(FRExt)| 27-Ap | 15:40 |  SlideShow_1280x720_20_pad_1280x768.yuv|   60 |  0/0  | 28 | 28 | 30 |1280x768 |    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.878| 41.873| 42.263| 49.282| 50.068| 50.985| 222507| 998793| 136060|  1357640|         159654   |          56289   |
| 19.0/(FRExt)| 29-Ap | 12:16 |  SlideShow_1280x720_20_pad_1280x768.yuv|   60 |  0/0  | 28 | 28 | 30 |1280x768 |    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.878| 41.873| 42.263| 49.282| 50.068| 50.985| 222507| 998793| 136060|  1357640|         236551   |          85734   |
| 19.0/(FRExt)| 29-Ap | 12:28 |  SlideShow_1280x720_20_pad_1280x768.yuv|   60 |  0/0  | 28 | 28 | 30 |1280x768 |    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.878| 41.873| 42.263| 49.282| 50.068| 50.985| 222507| 998793| 136060|  1357640|         288542   |         105812   |
| 19.0/(FRExt)| 29-Ap | 12:46 |  SlideShow_1280x720_20_pad_1280x768.yuv|   60 |  0/0  | 28 | 28 | 30 |1280x768 |    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.878| 41.873| 42.263| 46.921| 47.601| 48.650| 222507| 630760| 136820|   990367|         159768   |          57708   |
| 19.0/(FRExt)| 29-Ap | 12:55 |  SlideShow_1280x720_20_pad_1280x768.yuv|   60 |  0/0  | 28 | 28 | 30 |1280x768 |    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.878| 41.873| 42.263| 39.071| 41.030| 42.606| 222507| 211927|  95007|   529720|         173322   |          65856   |
| 19.0/(FRExt)| 29-Ap | 13:01 |  SlideShow_1280x720_20_pad_1280x768.yuv|   60 |  0/0  | 28 | 28 | 30 |1280x768 |    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.878| 41.873| 42.263| 36.784| 39.380| 41.068| 222507| 134813|  94907|   452507|         173011   |          67636   |
| 19.0/(FRExt)| 29-Ap | 13:07 |  SlideShow_1280x720_20_pad_1280x768.yuv|   60 |  0/0  | 28 | 28 | 30 |1280x768 |    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.878| 41.873| 42.263| 39.071| 41.030| 42.606| 222507| 211927|  95007|   529720|         161313   |          60959   |
| 19.0/(FRExt)| 29-Ap | 13:29 |ballDrive_1920x1080_50_pad_1920x1088.yuv|   60 |  0/0  | 28 | 28 | 30 |1920x1088|    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.570| 41.213| 41.419| 33.102| 39.047| 38.335| 183180| 884420|1383820|  2451700|         471483   |         229122   |
| 19.0/(FRExt)| 29-Ap | 16:27 |ballDrive_1920x1080_50_pad_1920x1088.yuv|   60 |  0/0  | 28 | 28 | 30 |1920x1088|    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.570| 41.213| 41.419| 32.406| 38.436| 37.691| 183180| 703007|1253587|  2140053|       10449200   |        2537575   |
| 19.0/(FRExt)| 29-Ap | 17:35 |ballDrive_1920x1080_50_pad_1920x1088.yuv|   60 |  0/0  | 28 | 28 | 30 |1920x1088|    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.570| 41.213| 41.419| 32.406| 38.436| 37.691| 183180| 703007|1253587|  2140053|         695213   |         337506   |
| 19.0/(FRExt)| 29-Ap | 17:56 |ballDrive_1920x1080_50_pad_1920x1088.yuv|   60 |  0/0  | 28 | 28 | 30 |1920x1088|    0  |  7 | EPZS |  022 |  32 |  5  | 50.00| CABAC|   1  |   OFF   |  1  | 36.570| 41.213| 41.419| 32.406| 38.436| 37.691| 183180| 703007|1253587|  2140053|         701717   |         341019   |
